xaxis,yaxis
9.079250419,11.72121175
7.524557996,1.158310361
7.824146677,1.622550764
8.182379174,1.167845665
7.823278242,1.240335923
1.908244295,1.39589453
5.594661765,1.423082894
0.168802779,1.455445622
1.968681398,1.418165749
9.111768403,8.4377732
9.29385539,7.598999603
4.949985581,7.841653312
8.856293946,7.085732086
4.230300585,1.592369727
3.424852717,1.576312217
8.51017844,1.663506623
4.320328296,2.046895742
9.174893098,0.395319087
4.204448862,0.325052954
4.596614261,0.415441052
3.091894734,0.404379798
0.519795971,0.191660762
1.733520608,0.196768408
0.726201532,0.225765923
8.563465759,0.229423425
5.453071539,0.258833628
6.249734953,0.266259849
2.329099746,0.279410774
3.695069343,0.241098417
0.250653165,0.145619048
7.443134742,0.146971003
4.845203217,0.145854598
1.638332245,0.146810683
9.603054145,6.562117562
1.037273741,6.533815076
3.928406192,6.421061876
3.946937364,8.907241536
5.421686285,8.829327935
9.882852242,8.544324727
4.41903348,7.797370479
7.384097196,7.568519083
8.978358824,2.505022418
9.113165844,2.425962147
8.436076307,2.487241705
2.718426569,2.408137432
2.954736304,11.71815083
3.577729652,10.2217389
2.38195542,11.66377295
1.974713198,12.44034101
2.570633497,0.811036638
6.540326437,0.864736542
4.349740658,0.771619509
7.773709684,0.748055056
5.254517982,2.083255358
8.553289825,2.085662452
2.399109866,2.282864015
3.275854849,2.357722028
2.515994984,5.543874932
3.054639975,5.305811582
5.973790955,5.166229891
2.500515766,5.695268539
5.264220274,1.194640242
8.229506272,1.058414368
6.77713865,1.080473355
5.892463186,1.103745053
2.485862258,5.269158157
8.875823203,4.866616935
4.868167206,4.728821777
0.20957106,4.801530011
2.113168106,0.250131013
2.313364726,0.229630548
7.2529429,0.211960718
6.597497404,0.217962048
6.440720987,5.463501182
6.269341407,4.867185924
7.647495894,5.074749628
8.193040591,4.862989931
6.565966466,1.752149102
6.483740121,1.90009103
4.842530291,1.80860092
0.452132207,2.303780983
3.656574116,1.497886363
6.510424889,1.619048654
2.243695047,1.584869945
9.596677393,1.662873483
4.040320137,9.527000515
9.982245443,8.891436541
1.711854065,8.810150532
9.480167313,7.880759326
7.950955952,7.533279752
7.537381753,7.59209277
6.298308624,7.698029098
7.18789402,7.802145093
8.919898172,3.194050322
2.36522574,3.47996689
7.117313618,3.610434779
9.449776228,4.20163513
3.002390008,6.677481144
5.202806234,6.447492771
1.961937401,6.168528586
3.391256138,5.896828979
5.727968917,9.340594762
7.323204784,8.612962755
7.86854642,9.036666273
5.789738569,8.952413531
6.660099833,7.60176497
2.414731338,6.795651486
3.093148092,6.83837457
5.381645877,6.702557614
3.894749263,4.476814921
7.217695054,3.204231319
5.16305642,2.672410756
9.116567755,2.872655693
0.349965061,3.689815762
3.209042005,3.70109721
2.305578757,3.50324049
4.607789293,3.601147064
2.92984589,9.4229613
9.463558565,8.598621998
4.644373102,9.127185047
4.026679493,9.291834303
1.13227146,14.65957764
4.863229992,13.30972781
1.897093532,15.14647827
3.157563433,15.81009754
3.211324663,0.267801815
3.38589508,0.31450114
5.802616649,0.307975417
9.063353519,0.327569171
2.957160934,1.069343449
4.859913128,1.180486133
4.097478043,1.129467501
6.530360502,1.199591629
5.90757749,0.285282402
3.848168635,0.292181175
0.023867139,0.291550731
6.229304084,0.308073152
0.322852667,0.558783791
6.476872587,0.401099775
2.409627734,0.607308472
1.979913554,0.595622098
1.842941881,4.880433719
7.673591816,5.034263395
9.935409696,4.973200642
4.260827508,5.050964187
2.051737071,10.36983266
