SEQ,Kotak Standard Multicap Fund - Growth - Direct,Kotak Bluechip Fund - Growth - Direct
566,0.946188452,0.923556071
567,0.944100614,0.921552743
568,0.92998285,0.907744742
569,0.928193274,0.905894674
570,0.936917456,0.915867525
571,0.933064897,0.909193414
572,0.94246017,0.91849484
573,0.94255959,0.919881479
574,0.940173489,0.916520705
575,0.938905873,0.914798354
576,0.930977059,0.906044285
577,0.923445927,0.897217235
578,0.91459747,0.886864883
579,0.912062237,0.882869174
580,0.91173912,0.881767161
581,0.899087813,0.869710703
582,0.904282554,0.873148108
583,0.902443268,0.869575689
584,0.90612184,0.875125892
585,0.918947133,0.885317686
586,0.95160689,0.91868824
587,0.943752641,0.908854053
588,0.94646186,0.912605275
589,0.946337584,0.909445199
590,0.965128129,0.926577484
591,0.976760371,0.935722001
592,0.975691596,0.93825809
593,0.969974896,0.932215265
594,0.975393334,0.938276335
595,0.974473691,0.937382318
596,0.984738896,0.947482886
597,0.982104243,0.943275532
598,0.961424701,0.927387573
599,0.963487684,0.929763104
600,0.968185321,0.934448483
601,0.971068526,0.93779831
602,0.96522755,0.932134986
603,0.966594587,0.934415641
604,0.958765193,0.927289048
605,0.945616782,0.91588577
606,0.950065866,0.9178818
607,0.947058385,0.917057115
608,0.959635125,0.92858811
609,0.954713792,0.92149071
610,0.952377402,0.918538629
611,0.958640917,0.925241932
612,0.963835657,0.929113573
613,0.965078418,0.930270322
614,0.961921805,0.927964123
615,0.965103273,0.931839413
616,0.967365098,0.93449592
617,0.968856411,0.935740246
618,0.972286432,0.938203354
619,0.960828176,0.92820496
620,0.940347476,0.908905139
621,0.943578654,0.910120273
622,0.936942311,0.905124724
623,0.942534735,0.909605757
624,0.941590237,0.90871174
625,0.941043422,0.910846433
626,0.946486715,0.915666827
627,0.947182661,0.917633665
628,0.938209927,0.910175008
629,0.922899113,0.897177096
630,0.919941342,0.893119353
631,0.920115328,0.892203442
632,0.910148386,0.886062092
633,0.911142594,0.887054634
634,0.917132702,0.889189327
635,0.912783039,0.883737648
636,0.901871598,0.875282801
637,0.905301618,0.877421144
638,0.893992494,0.866875392
639,0.894837571,0.868360555
640,0.882832501,0.858395002
641,0.893569955,0.867546817
642,0.885690851,0.859752449
643,0.896304029,0.871827152
644,0.902393558,0.879325948
645,0.888772898,0.865995971
646,0.899361221,0.873980091
647,0.901846743,0.875549182
648,0.903959436,0.877381005
649,0.898416723,0.874323101
650,0.890761315,0.868816686
651,0.877289787,0.856855104
652,0.883379315,0.862069595
653,0.901747322,0.879493804
654,0.907687719,0.885989111
655,0.902592399,0.882248836
656,0.894837571,0.873998336
657,0.900777968,0.880055757
658,0.882658514,0.862266643
659,0.886834191,0.866455752
660,0.888002386,0.866411963
661,0.894862426,0.874385135
662,0.899609773,0.879325948
663,0.903313201,0.882438587
664,0.901846743,0.880365927
665,0.910446648,0.889262308
666,0.905823578,0.883606282
667,0.89068675,0.868568551
668,0.894191335,0.871644699
669,0.881912858,0.860748639
670,0.930952203,0.906109968
671,0.957621853,0.935163696
672,0.955310317,0.93361285
673,0.943056695,0.920520062
674,0.954838068,0.931339493
675,0.950264708,0.928084541
676,0.94479656,0.924413598
677,0.934879328,0.918191969
678,0.93003256,0.913959072
679,0.918052345,0.90199384
680,0.913603261,0.897363197
681,0.929063207,0.911886412
682,0.921880049,0.905354615
683,0.924539557,0.911769643
684,0.927571894,0.914750916
685,0.933089752,0.920374101
686,0.935550419,0.922906541
687,0.945790769,0.93254003
688,0.952998782,0.939115616
689,0.95217856,0.934269679
690,0.953147913,0.936393426
691,0.951756021,0.93733853
692,0.950364129,0.940334399
693,0.965202694,0.957525069
694,0.972435563,0.963221235
695,0.97385231,0.96427581
696,0.973951731,0.963381793
697,0.975592176,0.965184423
698,0.96985062,0.960239961
699,0.975020506,0.964728292
700,0.979544155,0.967899315
701,0.976859792,0.963202989
702,0.979892128,0.96469545
703,0.976238411,0.960958824
704,0.979320458,0.966855687
705,0.980488654,0.967530761
706,0.978574802,0.966811899
707,0.980588074,0.97094992
708,0.98799493,0.975952767
709,0.983943529,0.97321598
710,0.977555738,0.967235189
711,0.987025576,0.978353841
712,0.984540054,0.977547401
713,0.990082768,0.981076032
714,0.996172296,0.986115368
715,0.990455596,0.980868036
716,0.991275818,0.980517727
717,0.985260856,0.97743793
718,0.987124997,0.980835194
719,0.982999031,0.979379224
720,0.975940149,0.9733291
721,0.977207765,0.975449198
722,0.969825765,0.968815227
723,0.973926876,0.972278174
724,0.977854,0.977043832
725,0.987671812,0.986830582
726,0.985981657,0.983962429
727,0.992419158,0.991297018
728,0.993413367,0.994453445
729,0.996371138,0.997496752
730,1,1
731,0.998160714,0.998138985
732,0.994531852,0.99374553
733,0.990629583,0.987921648
734,0.999105212,0.997748537
735,0.999130067,0.998066004
736,0.994531852,0.992114405
